created_at,clean_text,sentiment,subjectivity,polarity
Sat Nov 02 12:34:22 +0000 2019,once upon a time in… hollywood – steelbook edition 4k uhd blu-ray und steelbook edition blu-ray …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Sat Nov 02 12:34:16 +0000 2019,a perfect hat-trick burnley sees named team week https /…,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
Sat Nov 02 12:34:13 +0000 2019,giveaway win 00 fifa points paypal value €100 rt follow tag friends x chance winning …,"Sentiment(polarity=0.65, subjectivity=0.575)",0.575,0.65
Sat Nov 02 12:34:11 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:34:05 +0000 2019,the player match – duane vermeulen the number dynamic physical relentless pr…,"Sentiment(polarity=0.0, subjectivity=0.15476190476190477)",0.15476190476190477,0.0
Sat Nov 02 12:33:56 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:33:54 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:33:41 +0000 2019,live watch rage …,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",0.5,0.13636363636363635
Sat Nov 02 12:33:36 +0000 2019,giveaway win 00 fifa points paypal value €100 rt follow tag friends x chance winning …,"Sentiment(polarity=0.65, subjectivity=0.575)",0.575,0.65
Sat Nov 02 12:33:34 +0000 2019,giveaway win 00 fifa points paypal value €100 rt follow tag friends x chance winning …,"Sentiment(polarity=0.65, subjectivity=0.575)",0.575,0.65
Sat Nov 02 12:33:26 +0000 2019,days coins,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Sat Nov 02 12:33:24 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:33:18 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:33:17 +0000 2019,after huge game duane vermeulen ＠mastercard player match rugby world cup final carries …,"Sentiment(polarity=1.850371707708594e-17, subjectivity=0.7666666666666666)",0.7666666666666666,1.850371707708594e-17
Sat Nov 02 12:33:07 +0000 2019,run intense football strategies touch zone tackling opponents along way madden nfl …,"Sentiment(polarity=0.2, subjectivity=1.0)",1.0,0.2
Sat Nov 02 12:32:53 +0000 2019,overwatch medievil,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Sat Nov 02 12:32:45 +0000 2019,starting proper career mode starting bottom take top chosen manage n…,"Sentiment(polarity=0.125, subjectivity=0.2)",0.2,0.125
Sat Nov 02 12:32:44 +0000 2019,did someone fart,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
